address,fuel,name,Longitude,Latitude,Time
"2415 Wilson Blvd, Arlington, VA 22201, USA",75,EC6529,-77.08807,38.89064,5/18/2017 17:39
"2120-2198 2nd St S, Arlington, VA 22204, USA",75,EC6529,-77.08256,38.87163,5/18/2017 17:55
"2120-2198 2nd St S, Arlington, VA 22204, USA",75,EC6529,-77.08256,38.87163,5/19/2017 10:37
"251-399 23rd St S, Arlington, VA 22202, USA",71,EC6529,-77.05151,38.85343,5/19/2017 10:57
"251-399 23rd St S, Arlington, VA 22202, USA",71,EC6529,-77.05151,38.85343,5/19/2017 13:53
"1505 Caroline St NW, Washington, DC 20009, USA",96,EC6530,-77.03516,38.91633,5/18/2017 14:07
"1505 Caroline St NW, Washington, DC 20009, USA",96,EC6530,-77.03516,38.91633,5/18/2017 14:07
"14 P St NE, Washington, DC 20002, USA",93,EC6530,-77.00827,38.90969,5/18/2017 14:57
"14 P St NE, Washington, DC 20002, USA",93,EC6530,-77.00827,38.90969,5/18/2017 15:58
"10-14 G St NE, Washington, DC 20002, USA",90,EC6530,-77.00759,38.89893,5/18/2017 16:28
"10-14 G St NE, Washington, DC 20002, USA",90,EC6530,-77.00759,38.89893,5/18/2017 17:09
"2 Girard St NE, Washington, DC 20002, USA",90,EC6530,-77.00874,38.92591,5/18/2017 17:55
"2 Girard St NE, Washington, DC 20002, USA",90,EC6530,-77.00874,38.92591,5/19/2017 7:29
"700-798 8th St NW, Washington, DC 20001, USA",87,EC6530,-77.02323,38.89906,5/19/2017 8:20
"700-798 8th St NW, Washington, DC 20001, USA",87,EC6530,-77.02323,38.89906,5/19/2017 13:33
"1062-1098 4th St NW, Washington, DC 20001, USA",87,EC6530,-77.01621,38.90335,5/19/2017 13:48
"1062-1098 4th St NW, Washington, DC 20001, USA",87,EC6530,-77.01621,38.90335,5/19/2017 13:53
"1430-1440 Rhode Island Ave NW, Washington, DC 20005, USA",37,EC6531,-77.03319,38.90838,5/18/2017 13:57
"1430-1440 Rhode Island Ave NW, Washington, DC 20005, USA",37,EC6531,-77.03319,38.90838,5/18/2017 14:07
"1321 Rhode Island Ave NW, Washington, DC 20005, USA",34,EC6531,-77.03148,38.90907,5/18/2017 15:33
"1321 Rhode Island Ave NW, Washington, DC 20005, USA",34,EC6531,-77.03148,38.90907,5/18/2017 15:38
"1929-1933 18th St NW, Washington, DC 20009, USA",31,EC6531,-77.04162,38.91648,5/18/2017 16:18
"1929-1933 18th St NW, Washington, DC 20009, USA",31,EC6531,-77.04162,38.91648,5/18/2017 17:04
"214 S St NW, Washington, DC 20001, USA",31,EC6531,-77.01473,38.91404,5/18/2017 17:24
"214 S St NW, Washington, DC 20001, USA",31,EC6531,-77.01473,38.91404,5/18/2017 17:50
"2864-2900 Edgewood St NE, Washington, DC 20017, USA",31,EC6531,-76.99505,38.92598,5/18/2017 18:25
"2864-2900 Edgewood St NE, Washington, DC 20017, USA",31,EC6531,-76.99505,38.92598,5/18/2017 19:11
"1803-1805 2nd St NW, Washington, DC 20001, USA",28,EC6531,-77.01418,38.91433,5/18/2017 19:57
"1803-1805 2nd St NW, Washington, DC 20001, USA",28,EC6531,-77.01418,38.91433,5/18/2017 20:07
"430 Warner St NW, Washington, DC 20001, USA",28,EC6531,-77.01819,38.91185,5/18/2017 20:27
"430 Warner St NW, Washington, DC 20001, USA",28,EC6531,-77.01819,38.91185,5/18/2017 21:34
"425 Warner St NW, Washington, DC 20001, USA",28,EC6531,-77.01817,38.91189,5/18/2017 21:39
"425 Warner St NW, Washington, DC 20001, USA",28,EC6531,-77.01817,38.91189,5/18/2017 23:56
"4411-4421 1st St NE, Washington, DC 20011, USA",25,EC6531,-77.00585,38.94336,5/19/2017 0:11
"4411-4421 1st St NE, Washington, DC 20011, USA",25,EC6531,-77.00585,38.94336,5/19/2017 9:51
"1600-1612 Eckington Pl NE, Washington, DC 20002, USA",100,EC6531,-77.00478,38.91137,5/19/2017 12:33
"1600-1612 Eckington Pl NE, Washington, DC 20002, USA",100,EC6531,-77.00478,38.91137,5/19/2017 13:53
"2220-2228 Kearny St NE, Washington, DC 20018, USA",37,EC6532,-76.97283,38.93114,5/18/2017 13:46
"2220-2228 Kearny St NE, Washington, DC 20018, USA",37,EC6532,-76.97283,38.93114,5/18/2017 18:05
"3247 Mt Pleasant St NW, Washington, DC 20010, USA",34,EC6532,-77.03859,38.93207,5/18/2017 18:35
"3247 Mt Pleasant St NW, Washington, DC 20010, USA",34,EC6532,-77.03859,38.93207,5/19/2017 0:47
